Software,Districts_Using,Primary_Vendor,Total_Cost,Avg_Cost,Records_with_Cost,Rounds
Learning A-Z,2,Learning A-Z,12913.09,1076.09,12,[np.int64(4)]
Renaissance Learning,2,Renaissance Learning,30157.9,735.56,41,[np.int64(4)]
Raz Kids Software,1,LEARNING A-Z,1679.2,1679.2,1,[np.int64(4)]
"QuaverEd, Inc.",1,"QuaverEd, Inc.",8000.0,8000.0,1,[np.int64(4)]
RAZ,1,LEARNING A-Z,1364.35,1364.35,1,[np.int64(4)]
RAZ LISC CL,1,LEARNING A-Z,1574.25,1574.25,1,[np.int64(4)]
RAZ-INDV READING A-Z LICENSE,1,Learning A-Z,118.0,118.0,1,[np.int64(4)]
RDS Instruct Software & Other,1,LAB AIDS,1648.0,549.33,3,[np.int64(4)]
RENAISSANCE LEARNING,1,RENAISSANCE LEARNING,1950.34,487.58,4,[np.int64(4)]
RK-INDV RAZ-KIDS LICENSE,1,Learning A-Z,118.0,118.0,1,[np.int64(4)]
ROB PK Instructional Software,1,BSN SPORTS,149.0,149.0,1,[np.int64(4)]
RPS SWIS/C,1,University of Oregon,1380.0,1380.0,1,[np.int64(4)]
Raz Kids,1,Learning A-Z,1249.54,624.77,2,[np.int64(2)]
A-Z's Licenses,1,Learning A-Z,549.75,549.75,1,[np.int64(2)]
Prodigy Math,1,,0.0,,0,[np.int64(2)]
Raz-Kids,1,LEARNING A-Z,1049.5,1049.5,1,[np.int64(4)]
Read Naturally,1,Read Naturally,1725.0,1725.0,1,[np.int64(4)]
Rediker License,1,Rediker Software Inc,50.0,50.0,1,[np.int64(4)]
Renaissance,1,Renaissance Learning,13508.87,844.3,16,[np.int64(4)]
Renaissance Platform,1,"Renaissance Learning, Inc.",750.0,750.0,1,[np.int64(4)]
Renaissance comp,1,Renaissance Learning,3287.65,547.94,6,[np.int64(4)]
RnB ENTERPRISES-SMART I,1,"RnB ENTERPRISES, INC.",747.0,747.0,1,[np.int64(3)]
SCENARIO LEARN-17/18 Saf,1,"SCENARIO LEARNING, LLC",219.42,219.42,1,[np.int64(2)]
SCENARIO LEARNING-Safe,1,"SCENARIO LEARNING, LLC",638.95,638.95,1,[np.int64(3)]
Psych Q Global Subscription,1,Pearson Education,420.0,420.0,1,[np.int64(4)]
ProQuest,1,ProQuest-CSA LLC,0.0,,0,[np.int64(4)]
SCHOLASTIC GO-annual sub,1,SCHOLASTIC LIBRARY PUBLISHING,51.0,51.0,1,[np.int64(2)]
PowerSchool,1,PowerSchool,28780.0,28780.0,1,[np.int64(4)]
N2Y SSX,1,NEWS-2-YOU,66.06,66.06,1,[np.int64(4)]
NEWS2YOU,1,News-2-You,974.96,974.96,1,[np.int64(4)]
NEWS2YOU STRIVE,1,News-2-You,723.43,723.43,1,[np.int64(4)]
NEWS2YOU STRIVE A,1,NEWS-2-YOU,2893.71,964.57,3,[np.int64(4)]
Nearpod,1,Nearpod Inc.,46457.0,15485.67,3,[np.int64(4)]
Newsela,1,Newsela,3025.0,3025.0,1,[np.int64(4)]
Newsela Essentials,1,"Newsela, Inc.",3025.0,3025.0,1,[np.int64(4)]
OVR,1,Tobii Dynavox,99.0,99.0,1,[np.int64(4)]
OverDrive,1,"OverDrive, Inc",2000.0,2000.0,1,[np.int64(4)]
OverDrive School Digital Library,1,"OverDrive, Inc.",2000.0,2000.0,1,[np.int64(4)]
PH Instruct Software & Other,1,BSN SPORTS,149.0,149.0,1,[np.int64(4)]
PHLPERS RENEWAL GO,1,GOSTRENGTHS INC,297.0,297.0,1,[np.int64(4)]
POWERSCHOOL LLC-main,1,POWERSCHOOL GROUP LLC,3049.6,3049.6,1,[np.int64(2)]
POWERSCHOOL-SIS Maint,1,POWERSCHOOL GROUP LLC,2638.4,2638.4,1,[np.int64(3)]
