Vendor,Software_Count,Districts_Served,Total_Revenue,Records_with_Cost,Rounds
Renaissance Learning,73,1,44440.42,62,[np.int64(4)]
Learning A-Z,15,3,13413.03,15,"[np.int64(4), np.int64(2)]"
BrainPOP,13,1,40340.95,11,"[np.int64(2), np.int64(4)]"
SHI,12,1,19112.39,12,"[np.int64(2), np.int64(3)]"
Capstone,10,1,10601.05,10,"[np.int64(1), np.int64(4)]"
University of Oregon,8,1,5080.0,8,[np.int64(4)]
BSN SPORTS,7,1,1093.0,7,[np.int64(4)]
Pearson Education,6,1,8150.0,6,[np.int64(4)]
LEARNING A-Z,6,2,7516.4,6,"[np.int64(4), np.int64(3)]"
"ESGI, LLC",5,1,4361.0,5,[np.int64(4)]
"GameSalad, Inc.",4,1,4788.0,4,"[np.int64(3), np.int64(4)]"
NEWS-2-YOU,4,1,2959.77,4,[np.int64(4)]
RENAISSANCE LEARNING,4,1,1950.34,4,[np.int64(4)]
FRONTLINE TECHNOLOGIES LLC,4,1,5460.0,4,"[np.int64(2), np.int64(3)]"
PSNI,4,1,1209.0,4,"[np.int64(2), np.int64(3)]"
POWERSCHOOL GROUP LLC,4,1,12066.56,4,"[np.int64(2), np.int64(3)]"
DISCOVERY EDUCATION,4,1,6400.0,4,"[np.int64(2), np.int64(3)]"
SLP Toolkit LLC,4,1,2221.7,4,[np.int64(4)]
SCHOLASTIC LIBRARY PUBLISHING,3,1,854.0,3,"[np.int64(2), np.int64(3)]"
DATA MAKES THE DIFFE,3,1,399.99,3,[np.int64(4)]
"SCENARIO LEARNING, LLC",3,1,1478.37,3,"[np.int64(2), np.int64(3)]"
Houghton Mifflin Harcourt,3,1,513.53,3,[np.int64(2)]
GOSTRENGTHS INC,3,1,891.0,3,[np.int64(4)]
Apple Computer,3,1,1900.0,3,[np.int64(4)]
Nearpod Inc.,3,1,46457.0,3,[np.int64(4)]
"Thinkmap, Inc.",3,1,0.0,0,[np.int64(4)]
Curriculum Associates LLC,3,1,4410.0,3,[np.int64(2)]
"Curriculum Associates, LLC",2,1,0.0,0,[np.int64(2)]
Tobii Dynavox,2,1,2248.2,2,[np.int64(4)]
Learning Ally,2,1,270.0,2,[np.int64(2)]
Kesler Science,2,1,598.0,2,[np.int64(4)]
KUTA SOFTWARE,2,1,1951.0,2,[np.int64(4)]
CAPSTONE,2,1,4558.1,2,[np.int64(4)]
Infobase,2,1,1849.42,2,[np.int64(1)]
Imagine Learning,2,1,11375.0,2,[np.int64(4)]
TESTOUT,2,1,752.0,2,[np.int64(4)]
GoStrengths Inc,2,1,1097.0,2,[np.int64(4)]
"Moby Max, LLC",2,1,396.0,2,[np.int64(2)]
"GIMKIT, INC",2,1,2000.0,2,[np.int64(4)]
"Stukent, Inc.",2,1,0.0,0,[np.int64(4)]
SOLIDPROFESSOR,2,1,3085.0,2,[np.int64(4)]
News-2-You,2,1,1698.39,2,[np.int64(4)]
"ENCYCLOPEDIA BRITANNICA, INC.",2,1,1525.0,2,"[np.int64(2), np.int64(3)]"
"Screencastify, LLC",2,1,12600.0,2,[np.int64(4)]
"OverDrive, Inc.",2,1,4000.0,2,[np.int64(4)]
"Renaissance Learning, Inc.",2,1,2514.0,2,[np.int64(4)]
VocabularySpellingCity.com,1,1,135.0,1,[np.int64(3)]
ProQuest,1,1,935.0,1,[np.int64(2)]
Read Naturally,1,1,1725.0,1,[np.int64(4)]
PowerSchool,1,1,28780.0,1,[np.int64(4)]
Rediker Software Inc,1,1,50.0,1,[np.int64(4)]
Whalley Computer,1,1,875.0,1,[np.int64(4)]
"WeVideo, Inc.",1,1,598.0,1,[np.int64(4)]
"QuaverEd, Inc.",1,1,8000.0,1,[np.int64(4)]
ProQuest-CSA LLC,1,1,0.0,0,[np.int64(4)]
VOCABULARYSPELLINGCITY.COM,1,1,425.0,1,[np.int64(2)]
"TYLER TECHNOLOGIES, INC.",1,1,15625.84,1,[np.int64(2)]
Renaissance Learning Inc,1,1,2514.0,1,[np.int64(4)]
The Concord Consortium,1,1,39.0,1,[np.int64(3)]
TECH 4 LEARNING,1,1,400.0,1,[np.int64(2)]
"Stats Medic, LLC",1,1,704.7,1,[np.int64(4)]
TYPING CLUB,1,1,727.5,1,[np.int64(2)]
State of Connecticut,1,1,4500.0,1,[np.int64(3)]
SUPER TEACHER WORKSHEETS,1,1,19.95,1,[np.int64(2)]
